280,"BUTTERFIELD, Roger","The American Past - A History of the United States from Concord to Hiroshima, 1775 - 1945",12,3,2,2
281,"CABALLERO, Pablo",Madrid,25,22,2,6
282,"CAHN, Steven (Editor)",Classics of Western Philosophy,18,27,2,6
283,CAL/OSHA,Construction and Electrical Safety Orders,7,48,2,7
284,"CAMERON, Robert",Above Hawaii,19,3,2,5
285,"CAMERON, Robert",Above London,19,22,2,5
286,CAMERON/COOKE,Above Los Angeles,19,3,2,2
287,"CAMERON, Robert",Above Washington,19,3,2,5
288,"CAMPBELL, Joseph",The Power of Myth,6,39,2,6
289,"CAMPBELL, Judith",The World of Horses,17,28,2,2
290,"CAMUS, Albert",Caligula - Le Malentendu,8,22,3,6
291,"CAMUS, Albert",La Peste,8,22,3,6
292,"CAMUS, Albert",Le Mythe de Sisyphe,18,22,3,6
293,"CAMUS, Albert",Les Justes,8,22,3,6
294,"CAMUS, Albert",L'Etranger,8,22,3,6
295,"CAMUS, Albert",L'Exil et le Royaume,14,22,3,6
296,"CANDE, Roland De",Dictionnaire de Musique,16,44,3,6
297,"CANNAN, John",War in the East - Chancellorsville to Gettysburg 1863,12,16,2,6
298,"CANNON, Lou",Reagan: The Role of a Lifetime,12,3,2,6
299,"CANTOR, George",The Great Lakes - Lake Huron and Lake Michigan,25,3,2,6
300,"CANTOR, Norman",The American Century - Varieties of Culture in Modern Times,12,37,2,6
301,"CAPODIFERRO, Alessandra (Editor)",Wonders of the World - Masterpieces of Architecture from 4000 BC to the Present,1,44,2,6
302,"CARGHER, John",How to Enjoy Opera without Really Trying,16,41,2,6
303,"CARMONA, Michel","Haussmann - His Life and Times, and the Making of Modern Paris",1,27,2,6
304,"CARO, Ina",The Road from the Past - Traveling through History in France,25,22,2,2
305,"CARO, Robert A.", The Years of Lyndon Johnson (Vol. II) - Means of Ascent,3,3,2,6
306,"CARO, Robert A.", The Years of Lyndon Johnson (Vol. III) - Master of the Senate,3,3,2,6
307,"CARO, Robert A.", The Years of Lyndon Johnson (Vol. IV) - The Passage of Power,3,3,2,6
308,"CARO, Robert A.",The Power Broker - Robert Moses and the Fall of New York,3,3,2,6
309,"CARO, Robert A.",The Years of Lyndon Johnson (Vol. I) - The Path to Power ,3,3,2,6
310,CARTER - DUNSTON - THOMAS,Syria & Lebanon (Lonely Planet),25,35,2,6
311,"CARTER, Howard",The Tomb of Tutankhamen,2,35,2,6
312,"CARTER, Jimmy",Palestine - Peace not Apartheid,12,35,2,6
313,"CARTER, Violet",Winston Churchill,3,54,2,6
314,"CASALS, Lluis/BAYON, Felix",The Alhambra of Granada,25,22,2,6
315,"CASTELOT, Andre",Queen of France - A Biography of Marie Antoinette,3,22,2,6
316,"CASTLEDEN, Rodney",World History,12,44,2,2
317,"CATTON, Bruce",A Stillness at Appomattox,12,16,2,1
318,"CATTON, Bruce",Civil War Trilogy: Mr. Lincoln's Army - Glory Road - A Stillness at Appomatox,12,16,2,6
319,"CATTON, Bruce",Grant Moves South,12,16,2,6
320,"CAWS, Mary Ann",Picasso's Weeping Woman - The Life and Art of Dora Mar,2,22,2,6
321,"CECIL, Robert",A Divided Life - A Personal Portrait of the Spy Donald Maclean,12,22,2,6
322,CERNUDA/LAWSON,Los Angeles,19,3,2,6
323,"CERVANTES, Miguel de",Don Quixote de la Mancha,14,22,2,1
324,"CHAFFEE, Willaim",The Unfinished Journey,12,3,2,6
325,"CHAFFURIN, louis",French-English/English-French Dictionary (Larousse),22,19,2,6
326,CHALLAN & RAGEAU,Strategic Atlas,20,44,2,6
327,CHAMPOLLION. Herve,Wonderful France,25,22,2,6
328,"CHANDLER, Charlotte","I, Fellini",4,8,2,6
329,"CHANDLER, David",Tet Offensive - 1968,12,50,2,6
330,"CHANG, Iris",The Rape of Nanking,12,7,2,6
331,"CHANG, Jung/HALLIDAY, Jon",Mao - The Unknown Story,12,7,2,6
332,"CHANT, Christopher/Editor",Hitler's Generals and Their Battles,12,54,2,6
333,"CHARTRAND, R./DURHAM, K./HARRISON, M./HEATH, I.",The Vikings,12,22,2,6
334,"CHATELET, Francois",Hegel,18,8,3,6
335,"CHAUCER, Geoffrey",Troilus and Cressida - The Canterbury Tales,14,22,2,1
336,CHAUVEAU/BERGER/HELIFLASH,The Chateaux of the Loire,25,22,2,6
337,"CHEEK, GANNON",Newport Mansions - The Gilded Age,25,3,2,6
338,"CHEETHAM, Erika",Nostradamus,3,22,2,6
339,"CHEK, BENWAY",A Guide Book to Newport Mansions,25,3,2,6
340,"CHEREL, A.",Assimil - German Without Toil,22,31,2,9
341,"CHEREL, A.",Assimil - La Pratique de l'Allemand,22,31,2,9
342,"CHERNOW, Ron","Titan - The Life of John D. Rockefeller, Sr.",3,3,2,6
343,"CHEW Khuan/Schmitt, Uschi",1001 Arabian Nights at the BURJ AL ARAB,25,35,2,6
344,"CHILD, Julia",The French Chef Cookbook,9,18,2,4
345,CHINA ART PUBLISHING HOUSE,Beijing,25,7,2,6
346,CHINA ART PUBLISHING HOUSE,Best Scenery and Sights in China,25,7,2,6
347,CHINA ART PUBLISHING HOUSE,Shanghai Now and Past,25,7,2,6
348,CHINA ART PUBLISHING HOUSE,The Beauty of Longji,25,7,2,6
349,CHINA ART PUBLISHING HOUSE,The Great Wall,25,7,2,6
350,CHINA ART PUBLISHING HOUSE,The Summer Palace,25,7,2,6
351,CHINA ART PUBLISHING HOUSE,Zhouzhuang - A Town of Waters Ranks Top in China,25,7,2,6
